Father,Book,Count
Ignatius,Matt,12
Ignatius,Mark,2
Ignatius,Luke,1
Ignatius,John,7
Ignatius,Acts,1
Ignatius,Rom,6
Ignatius,1 Cor,13
Ignatius,2 Cor,1
Ignatius,Gal,2
Ignatius,Eph,4
Ignatius,Phil,1
Ignatius,Col,1
Ignatius,1 Thess,1
Ignatius,2 Thess,0
Ignatius,1 Tim,6
Ignatius,2 Tim,2
Ignatius,Tit,0
Ignatius,Philem,1
Ignatius,Heb,1
Ignatius,James,3
Ignatius,1 Pet,1
Ignatius,2 Pet,0
Ignatius,1 John,1
Ignatius,2 John,0
Ignatius,3 John,0
Ignatius,Jude,0
Ignatius,Rev,0
Polycarp,Matt,10
Polycarp,Mark,1
Polycarp,Luke,4
Polycarp,John,0
Polycarp,Acts,3
Polycarp,Rom,3
Polycarp,1 Cor,5
Polycarp,2 Cor,3
Polycarp,Gal,4
Polycarp,Eph,4
Polycarp,Phil,5
Polycarp,Col,0
Polycarp,1 Thess,2
Polycarp,2 Thess,1
Polycarp,1 Tim,4
Polycarp,2 Tim,3
Polycarp,Tit,0
Polycarp,Philem,0
Polycarp,Heb,2
Polycarp,James,0
Polycarp,1 Pet,14
Polycarp,2 Pet,1
Polycarp,1 John,2
Polycarp,2 John,0
Polycarp,3 John,1
Polycarp,Jude,1
Polycarp,Rev,0
Clement,Matt,3
Clement,Mark,0
Clement,Luke,3
Clement,John,0
Clement,Acts,1
Clement,Rom,4
Clement,1 Cor,5
Clement,2 Cor,0
Clement,Gal,0
Clement,Eph,1
Clement,Phil,0
Clement,Col,0
Clement,1 Thess,0
Clement,2 Thess,0
Clement,1 Tim,1
Clement,2 Tim,0
Clement,Tit,2
Clement,Philem,0
Clement,Heb,8
Clement,James,4
Clement,1 Pet,1
Clement,2 Pet,3
Clement,1 John,0
Clement,2 John,0
Clement,3 John,0
Clement,Jude,0
Clement,Rev,1
Hermas,Matt,21
Hermas,Mark,3
Hermas,Luke,9
Hermas,John,3
Hermas,Acts,3
Hermas,Rom,8
Hermas,1 Cor,13
Hermas,2 Cor,3
Hermas,Gal,1
Hermas,Eph,9
Hermas,Phil,4
Hermas,Col,2
Hermas,1 Thess,3
Hermas,2 Thess,3
Hermas,1 Tim,1
Hermas,2 Tim,0
Hermas,Tit,0
Hermas,Philem,0
Hermas,Heb,12
Hermas,James,18
Hermas,1 Pet,6
Hermas,2 Pet,1
Hermas,1 John,4
Hermas,2 John,1
Hermas,3 John,0
Hermas,Jude,0
Hermas,Rev,10
Pseudo-Barnabas,Matt,4
Pseudo-Barnabas,Mark,1
Pseudo-Barnabas,Luke,1
Pseudo-Barnabas,John,0
Pseudo-Barnabas,Acts,1
Pseudo-Barnabas,Rom,1
Pseudo-Barnabas,1 Cor,1
Pseudo-Barnabas,2 Cor,1
Pseudo-Barnabas,Gal,0
Pseudo-Barnabas,Eph,1
Pseudo-Barnabas,Phil,0
Pseudo-Barnabas,Col,1
Pseudo-Barnabas,1 Thess,0
Pseudo-Barnabas,2 Thess,0
Pseudo-Barnabas,1 Tim,1
Pseudo-Barnabas,2 Tim,0
Pseudo-Barnabas,Tit,0
Pseudo-Barnabas,Philem,0
Pseudo-Barnabas,Heb,1
Pseudo-Barnabas,James,1
Pseudo-Barnabas,1 Pet,0
Pseudo-Barnabas,2 Pet,0
Pseudo-Barnabas,1 John,0
Pseudo-Barnabas,2 John,0
Pseudo-Barnabas,3 John,0
Pseudo-Barnabas,Jude,0
Pseudo-Barnabas,Rev,0
Papias,Matt,2
Papias,Mark,0
Papias,Luke,0
Papias,John,2
Papias,Acts,0
Papias,Rom,0
Papias,1 Cor,2
Papias,2 Cor,0
Papias,Gal,0
Papias,Eph,0
Papias,Phil,0
Papias,Col,0
Papias,1 Thess,0
Papias,2 Thess,0
Papias,1 Tim,0
Papias,2 Tim,0
Papias,Tit,0
Papias,Philem,0
Papias,Heb,0
Papias,James,0
Papias,1 Pet,0
Papias,2 Pet,0
Papias,1 John,0
Papias,2 John,0
Papias,3 John,0
Papias,Jude,0
Papias,Rev,0
